Auction Quarter,Covered Entities,Voluntarily Associated Entities
Q4 2014,81,4
Q1 2015,82,6
Q2 2015,92,5
Q3 2015,82,6
Q4 2015,84,7
Q1 2016,75,7
Q2 2016,40,3
Q3 2016,47,6
Q4 2016,74,7
Q1 2017,46,4
Q2 2017,69,6
Q3 2017,89,9
Q4 2017,96,7
Q1 2018,113,7
Q2 2018,120,7
Q3 2018,78,9
Q4 2018,74,10
Q1 2019,77,9
Q2 2019,81,12
Q3 2019,80,14
Q4 2019,79,13
Q1 2020,81,18
Q2 2020,35,7
Q3 2020,73,14
Q4 2020,80,17
Q1 2021,68,18
Q2 2021,74,18
Q3 2021,91,22
Q4 2021,88,22
Q1 2022,98,29
Q2 2022,90,35
Q3 2022,81,34
Q4 2022,85,28
Q1 2023,81,32
Q2 2023,86,34
Q3 2023,92,29
